127.0.0.1 - - [27/Aug/2023:10:50:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:43 +0530] "GET /survey/ HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:44 +0530] "GET /survey/bgimage.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:48 +0530] "GET /survey/user? HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:48 +0530] "GET /survey/login.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:48 +0530] "GET /survey/img/log.svg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:48 +0530] "GET /survey/img/register.svg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:50:48 +0530] "GET /survey/resources/css/login_user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:00 +0530] "GET /survey/admin? HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:01 +0530] "GET /survey/login.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:01 +0530] "GET /survey/img/log.svg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:01 +0530] "GET /survey/img/register.svg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:01 +0530] "GET /survey/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:05 +0530] "GET /survey/user? HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:05 +0530] "GET /survey/img/log.svg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:05 +0530] "GET /survey/login.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Aug/2023:10:51:05 +0530] "GET /survey/img/register.svg HTTP/1.1" 404 682
